Country_Name,independence,united_nation_members,start_of_week,official_name,common_native_name,currency_code,currency_name,currency_symbol,country_code,capital,region,subregion,languages,area,population,continents,country_name
Grenada,True,True,monday,Grenada,Grenada,XCD,Eastern Caribbean dollar,$,++1473,St. George's,Americas,Caribbean,['English'],344.0,112519,['North America'],Grenada
Sierra Leone,True,True,monday,Republic of Sierra Leone,Sierra Leone,SLL,Sierra Leonean leone,Le,++232,Freetown,Africa,Western Africa,['English'],71740.0,7976985,['Africa'],Sierra Leone
Barbados,True,True,monday,Barbados,Barbados,BBD,Barbadian dollar,$,++1246,Bridgetown,Americas,Caribbean,['English'],430.0,287371,['North America'],Barbados
Pitcairn Islands,False,False,monday,Pitcairn Group of Islands,Pitcairn Islands,NZD,New Zealand dollar,$,++64,Adamstown,Oceania,Polynesia,['English'],47.0,56,['Oceania'],Pitcairn Islands
Saint Kitts and Nevis,True,True,monday,Federation of Saint Christopher and Nevis,Saint Kitts and Nevis,XCD,Eastern Caribbean dollar,$,++1869,Basseterre,Americas,Caribbean,['English'],261.0,53192,['North America'],Saint Kitts and Nevis
Uganda,True,True,monday,Republic of Uganda,Uganda,UGX,Ugandan shilling,Sh,++256,Kampala,Africa,Eastern Africa,"['English', 'Swahili']",241550.0,45741000,['Africa'],Uganda
South Africa,True,True,monday,Republic of South Africa,South Africa,ZAR,South African rand,R,++27,Pretoria,Africa,Southern Africa,"['Afrikaans', 'English', 'Southern Ndebele', 'Northern Sotho', 'Southern Sotho', 'Swazi', 'Tswana', 'Tsonga', 'Venda', 'Xhosa', 'Zulu']",1221037.0,59308690,['Africa'],South Africa
Northern Mariana Islands,False,False,monday,Commonwealth of the Northern Mariana Islands,Northern Mariana Islands,USD,United States dollar,$,++1670,Saipan,Oceania,Micronesia,"['Carolinian', 'Chamorro', 'English']",464.0,57557,['Oceania'],Northern Mariana Islands
Guernsey,False,False,monday,Bailiwick of Guernsey,Guernsey,GBP,British pound,£,++44,St. Peter Port,Europe,Northern Europe,"['English', 'French', 'Guernésiais']",78.0,62999,['Europe'],Guernsey
Solomon Islands,True,True,monday,Solomon Islands,Solomon Islands,SBD,Solomon Islands dollar,$,++677,Honiara,Oceania,Melanesia,['English'],28896.0,686878,['Oceania'],Solomon Islands
